,accuracy_results,error_results,precision_results,recall_results,f1_results,gmean_results
0,0.9767441860465116,0.023255813953488413,0.8803986710963455,0.8571428571428571,0.923076923076923,0.9258200997725514
1,0.9767441860465116,0.023255813953488413,0.875,1.0,0.9333333333333333,0.9860132971832694
2,0.9767441860465116,0.023255813953488413,0.875,1.0,0.9333333333333333,0.9860132971832694
3,1.0,0.0,1.0,1.0,1.0,1.0
4,0.9767441860465116,0.023255813953488413,0.8803986710963455,0.8571428571428571,0.923076923076923,0.9258200997725514
5,0.9767441860465116,0.023255813953488413,0.875,1.0,0.9333333333333333,0.9860132971832694
6,1.0,0.0,1.0,1.0,1.0,1.0
7,1.0,0.0,1.0,1.0,1.0,1.0
8,1.0,0.0,1.0,1.0,1.0,1.0
9,0.9767441860465116,0.023255813953488413,0.8803986710963455,0.8571428571428571,0.923076923076923,0.9258200997725514
10,1.0,0.0,1.0,1.0,1.0,1.0
11,0.9534883720930233,0.046511627906976716,0.7579496915045087,0.8571428571428571,0.8571428571428571,0.9128709291752768
12,1.0,0.0,1.0,1.0,1.0,1.0
13,1.0,0.0,1.0,1.0,1.0,1.0
14,1.0,0.0,1.0,1.0,1.0,1.0
15,0.9767441860465116,0.023255813953488413,0.875,1.0,0.9333333333333333,0.9860132971832694
16,0.9534883720930233,0.046511627906976716,0.760797342192691,0.7142857142857143,0.8333333333333333,0.8451542547285166
17,0.9534883720930233,0.046511627906976716,0.760797342192691,0.7142857142857143,0.8333333333333333,0.8451542547285166
18,1.0,0.0,1.0,1.0,1.0,1.0
19,1.0,0.0,1.0,1.0,1.0,1.0
20,1.0,0.0,1.0,1.0,1.0,1.0
21,0.9767441860465116,0.023255813953488413,0.8803986710963455,0.8571428571428571,0.923076923076923,0.9258200997725514
22,0.9767441860465116,0.023255813953488413,0.8803986710963455,0.8571428571428571,0.923076923076923,0.9258200997725514
23,0.9767441860465116,0.023255813953488413,0.875,1.0,0.9333333333333333,0.9860132971832694
24,0.9767441860465116,0.023255813953488413,0.8803986710963455,0.8571428571428571,0.923076923076923,0.9258200997725514
25,1.0,0.0,1.0,1.0,1.0,1.0
26,0.9534883720930233,0.046511627906976716,0.760797342192691,0.7142857142857143,0.8333333333333333,0.8451542547285166
27,1.0,0.0,1.0,1.0,1.0,1.0
28,0.9767441860465116,0.023255813953488413,0.875,1.0,0.9333333333333333,0.9860132971832694
29,0.9534883720930233,0.046511627906976716,0.760797342192691,0.7142857142857143,0.8333333333333333,0.8451542547285166
30,1.0,0.0,1.0,1.0,1.0,1.0
31,0.9534883720930233,0.046511627906976716,0.7579496915045087,0.8571428571428571,0.8571428571428571,0.9128709291752768
32,1.0,0.0,1.0,1.0,1.0,1.0
33,0.9767441860465116,0.023255813953488413,0.8803986710963455,0.8571428571428571,0.923076923076923,0.9258200997725514
34,1.0,0.0,1.0,1.0,1.0,1.0
35,1.0,0.0,1.0,1.0,1.0,1.0
36,1.0,0.0,1.0,1.0,1.0,1.0
37,0.9534883720930233,0.046511627906976716,0.760797342192691,0.7142857142857143,0.8333333333333333,0.8451542547285166
38,0.9767441860465116,0.023255813953488413,0.875,1.0,0.9333333333333333,0.9860132971832694
39,0.9767441860465116,0.023255813953488413,0.875,1.0,0.9333333333333333,0.9860132971832694
40,0.9767441860465116,0.023255813953488413,0.8803986710963455,0.8571428571428571,0.923076923076923,0.9258200997725514
41,1.0,0.0,1.0,1.0,1.0,1.0
42,0.9534883720930233,0.046511627906976716,0.7579496915045087,0.8571428571428571,0.8571428571428571,0.9128709291752768
43,1.0,0.0,1.0,1.0,1.0,1.0
44,1.0,0.0,1.0,1.0,1.0,1.0
45,1.0,0.0,1.0,1.0,1.0,1.0
46,0.9534883720930233,0.046511627906976716,0.760797342192691,0.7142857142857143,0.8333333333333333,0.8451542547285166
47,1.0,0.0,1.0,1.0,1.0,1.0
48,0.9767441860465116,0.023255813953488413,0.8803986710963455,0.8571428571428571,0.923076923076923,0.9258200997725514
49,1.0,0.0,1.0,1.0,1.0,1.0
