,accuracy_results,error_results,precision_results,recall_results,f1_results,gmean_results
0,0.9534883720930233,0.046511627906976716,0.7177002583979329,0.8333333333333334,0.8333333333333334,0.9004503377814964
1,0.9302325581395349,0.06976744186046513,0.6184939091915836,0.8333333333333334,0.7692307692307692,0.8878560065057218
2,1.0,0.0,1.0,1.0,1.0,1.0
3,0.9767441860465116,0.023255813953488413,0.8565891472868218,0.8333333333333334,0.9090909090909091,0.9128709291752769
4,0.9523809523809523,0.04761904761904767,0.6476190476190475,0.6,0.7499999999999999,0.7745966692414834
5,0.9534883720930233,0.046511627906976716,0.7131782945736433,0.6666666666666666,0.8,0.816496580927726
6,1.0,0.0,1.0,1.0,1.0,1.0
7,0.9534883720930233,0.046511627906976716,0.75,1.0,0.8571428571428571,0.9725975251592747
8,0.9534883720930233,0.046511627906976716,0.7131782945736433,0.6666666666666666,0.8,0.816496580927726
9,0.9523809523809523,0.04761904761904767,0.663809523809524,0.8,0.8000000000000002,0.8822575465125694
10,0.9767441860465116,0.023255813953488413,0.8565891472868218,0.8333333333333334,0.9090909090909091,0.9128709291752769
11,0.9534883720930233,0.046511627906976716,0.7177002583979329,0.8333333333333334,0.8333333333333334,0.9004503377814964
12,0.9534883720930233,0.046511627906976716,0.7131782945736433,0.6666666666666666,0.8,0.816496580927726
13,1.0,0.0,1.0,1.0,1.0,1.0
14,0.9047619047619048,0.09523809523809523,0.4809523809523809,0.8,0.6666666666666666,0.857400218763172
15,0.9767441860465116,0.023255813953488413,0.8565891472868218,0.8333333333333334,0.9090909090909091,0.9128709291752769
16,0.9767441860465116,0.023255813953488413,0.8565891472868218,0.8333333333333334,0.9090909090909091,0.9128709291752769
17,0.9534883720930233,0.046511627906976716,0.7131782945736433,0.6666666666666666,0.8,0.816496580927726
18,0.9302325581395349,0.06976744186046513,0.57984496124031,0.6666666666666666,0.7272727272727272,0.8053872662568292
19,0.9523809523809523,0.04761904761904767,0.7142857142857143,1.0,0.8333333333333333,0.9725975251592747
20,0.9534883720930233,0.046511627906976716,0.7177002583979329,0.8333333333333334,0.8333333333333334,0.9004503377814964
21,0.9767441860465116,0.023255813953488413,0.8565891472868218,0.8333333333333334,0.9090909090909091,0.9128709291752769
22,1.0,0.0,1.0,1.0,1.0,1.0
23,0.9302325581395349,0.06976744186046513,0.6184939091915836,0.8333333333333334,0.7692307692307692,0.8878560065057218
24,0.9285714285714286,0.0714285714285714,0.4714285714285714,0.4,0.5714285714285715,0.6324555320336759
25,1.0,0.0,1.0,1.0,1.0,1.0
26,0.8837209302325582,0.11627906976744184,0.3152454780361757,0.3333333333333333,0.4444444444444444,0.5694947974514993
27,0.9302325581395349,0.06976744186046513,0.6666666666666666,1.0,0.8,0.9586025865388216
28,0.9534883720930233,0.046511627906976716,0.7131782945736433,0.6666666666666666,0.8,0.816496580927726
29,0.9761904761904762,0.023809523809523836,0.8238095238095239,0.8,0.888888888888889,0.8944271909999159
30,0.9069767441860465,0.09302325581395354,0.4909560723514212,0.6666666666666666,0.6666666666666666,0.7941225539113157
31,0.9767441860465116,0.023255813953488413,0.8565891472868218,0.8333333333333334,0.9090909090909091,0.9128709291752769
32,0.9767441860465116,0.023255813953488413,0.8571428571428571,1.0,0.923076923076923,0.9863939238321437
33,0.9534883720930233,0.046511627906976716,0.7177002583979329,0.8333333333333334,0.8333333333333334,0.9004503377814964
34,0.9285714285714286,0.0714285714285714,0.49761904761904757,0.6,0.6666666666666665,0.764057447960416
35,0.9534883720930233,0.046511627906976716,0.7131782945736433,0.6666666666666666,0.8,0.816496580927726
36,0.9767441860465116,0.023255813953488413,0.8565891472868218,0.8333333333333334,0.9090909090909091,0.9128709291752769
37,0.9534883720930233,0.046511627906976716,0.7177002583979329,0.8333333333333334,0.8333333333333334,0.9004503377814964
38,0.9534883720930233,0.046511627906976716,0.7177002583979329,0.8333333333333334,0.8333333333333334,0.9004503377814964
39,0.9523809523809523,0.04761904761904767,0.6476190476190475,0.6,0.7499999999999999,0.7745966692414834
40,0.9767441860465116,0.023255813953488413,0.8565891472868218,0.8333333333333334,0.9090909090909091,0.9128709291752769
41,0.9767441860465116,0.023255813953488413,0.8571428571428571,1.0,0.923076923076923,0.9863939238321437
42,0.9534883720930233,0.046511627906976716,0.7131782945736433,0.6666666666666666,0.8,0.816496580927726
43,0.8604651162790697,0.13953488372093026,0.3798449612403101,0.6666666666666666,0.5714285714285715,0.7710996009560598
44,1.0,0.0,1.0,1.0,1.0,1.0
45,0.9767441860465116,0.023255813953488413,0.8571428571428571,1.0,0.923076923076923,0.9863939238321437
46,1.0,0.0,1.0,1.0,1.0,1.0
47,0.9302325581395349,0.06976744186046513,0.57984496124031,0.6666666666666666,0.7272727272727272,0.8053872662568292
48,0.9534883720930233,0.046511627906976716,0.75,1.0,0.8571428571428571,0.9725975251592747
49,0.9285714285714286,0.0714285714285714,0.4714285714285714,0.4,0.5714285714285715,0.6324555320336759
